模式,得分,步数,时间,记录时间
无限模式,10,46,38,1716136242
无限模式,7,44,29,1716136539
无限模式,1,4,3,1716136572
无限模式,3,32,16,1716136635
无限模式,0,21,7,1716136650
无限模式,0,16,8,1716136670
无限模式,0,3,2,1716136676
无限模式,7,49,35,1716136713
无限模式,3,21,22,1716137537
无限模式,12,79,97,1716137887
无限模式,0,0,5,1716137901
无限模式,0,0,0,1716137938
无限模式,0,0,0,1716137943
无限模式,1,8,5,1716137949
无限模式,0,1,0,1716137950
无限模式,0,0,0,1716137952
无限模式,5,17,10,1716137965
无限模式,0,1,0,1716137975
无限模式,0,1,0,1716137976
无限模式,10,46,22,1716138001
无限模式,8,29,18,1716138073
无限模式,0,6,7,1716187888
限时模式,5,32,18,1716188715
无限模式,2,10,9,1716188762
限时模式,0,0,2,1716188789
限时模式,0,0,2,1716188808
限时模式,0,4,2,1716188820
限时模式,0,0,2,1716188829
无限模式,0,0,2,1716190494
无限模式,5,37,23,1716190519
限时模式,0,6,7,1716190659
限时模式,8,51,39,1716190707
无限模式,0,0,1,1716190724
无限模式,0,0,3,1716190734
限时模式,0,0,2,1716193027
限时模式,4,35,17,1716193054
限时模式,4,46,28,1716193104
限时模式,4,28,20,1716193164
限时模式,1,20,8,1716193219
无限模式,0,7,3,1716193428
限时模式,3,33,11,1716201344
无限模式,3,18,10,1716201357
无限模式,1,20,6,1716208590
限时模式,1,5,6,1716208602
限时模式,1,20,15,1716208737
限时模式,6,20,13,1716208756
限时模式,4,41,22,1716208784
限时模式,2,20,8,1716208796
限时模式,10,37,18,1716208828
限时模式,13,77,41,1716208881
